"gene","gene_upper","codingLenInTarget"
"RBMY1F","RBMY1F",950
"RBMY1J","RBMY1J",950
"RBP1","RBP1",618
"RBP2","RBP2",405
"RBP3","RBP3",3744
"RBP4","RBP4",606
"RBP5","RBP5",408
"RBP7","RBP7",405
"RBPJ","RBPJ",1554
"RBPJL","RBPJL",1564
"RBPMS","RBPMS",809
"RBPMS2","RBPMS2",630
"RBX1","RBX1",327
"RCAN1","RCAN1",846
"RCAN2","RCAN2",594
"RCAN3","RCAN3",726
"RCC2","RCC2",1569
"RCCD1","RCCD1",1131
"RCE1","RCE1",990
"RCHY1","RCHY1",786
"RCL1","RCL1",1122
"RCN1","RCN1",996
"RCN2","RCN2",954
"RCN3","RCN3",987
"RCSD1","RCSD1",1251
"RCVRN","RCVRN",603
"RD3","RD3",588
"RDH10","RDH10",1026
"RDH11","RDH11",957
"RDH12","RDH12",951
"RDH13","RDH13",996
"RDH14","RDH14",1011
"RDH16","RDH16",954
"RDH5","RDH5",957
"RDM1","RDM1",926
"RDX","RDX",1752
"RECK","RECK",2916
"RECQL","RECQL",1950
"RECQL4","RECQL4",3627
"RECQL5","RECQL5",3059
"REEP2","REEP2",765
"REEP3","REEP3",768
"REEP4","REEP4",774
"REEP5","REEP5",570
"REEP6","REEP6",555
"REG1A","REG1A",501
"REG1B","REG1B",501
"REG3A","REG3A",528
"REG3G","REG3G",528
"REG4","REG4",717
"REL","REL",1764
"RELA","RELA",1656
"RELB","RELB",1736
"RELL1","RELL1",816
"RELL2","RELL2",912
"RELT","RELT",1293
"REM1","REM1",897
"REM2","REM2",1023
"REN","REN",1221
"RENBP","RENBP",1284
"REP15","REP15",711
"REPIN1","REPIN1",1875
"REPS1","REPS1",2391
"REPS2","REPS2",1983
"RER1","RER1",591
"RERG","RERG",600
"RERGL","RERGL",618
"RESP18","RESP18",687
"REST","REST",3294
"RET","RET",3377
"RETNLB","RETNLB",336
"RETSAT","RETSAT",1833
"REXO1L1","REXO1L1",2028
"REXO2","REXO2",714
"REXO4","REXO4",1269
"RFC1","RFC1",3447
"RFC3","RFC3",1110
"RFESD","RFESD",633
"RFFL","RFFL",1092
"RFK","RFK",468
"RFNG","RFNG",996
"RFPL1","RFPL1",954
"RFPL2","RFPL2",1219
"RFPL3","RFPL3",954
"RFPL4A","RFPL4A",864
"RFPL4B","RFPL4B",792
"RFT1","RFT1",1626
"RFTN1","RFTN1",1737
"RFTN2","RFTN2",1506
"RFX1","RFX1",2940
"RFX4","RFX4",2373
"RFX5","RFX5",1851
"RFX6","RFX6",2787
"RFXANK","RFXANK",783
"RFXAP","RFXAP",819
"RGAG1","RGAG1",4167
"RGAG4","RGAG4",1710
"RGCC","RGCC",414
"RGL2","RGL2",2334
"RGL3","RGL3",2151
"RGL4","RGL4",1422
"RGMB","RGMB",1437
"RGP1","RGP1",1176
"RGPD1","RGPD1",9463
"RGPD2","RGPD2",9511
"RGPD3","RGPD3",4797
"RGPD4","RGPD4",4636
"RGPD5","RGPD5",13625
"RGPD6","RGPD6",8916
"RGPD8","RGPD8",4709
"RGR","RGR",888
"RGS1","RGS1",630
"RGS10","RGS10",553
"RGS11","RGS11",1404
"RGS12","RGS12",4415
"RGS13","RGS13",480
"RGS14","RGS14",1701
"RGS16","RGS16",609
"RGS18","RGS18",708
"RGS19","RGS19",654
"RGS2","RGS2",636
"RGS20","RGS20",1236
"RGS21","RGS21",459
"RGS3","RGS3",4177
"RGS4","RGS4",909
"RGS5","RGS5",558
"RGS6","RGS6",1419
"RGS7","RGS7",1464
"RGS8","RGS8",623
"RGS9","RGS9",2082
"RGS9BP","RGS9BP",708
"RGSL1","RGSL1",3231
"RHAG","RHAG",1230
"RHBDD1","RHBDD1",948
"RHBDD2","RHBDD2",1095
"RHBDD3","RHBDD3",1161
"RHBDF1","RHBDF1",2568
"RHBDF2","RHBDF2",2571
"RHBDL1","RHBDL1",1083
"RHBDL2","RHBDL2",912
"RHBDL3","RHBDL3",1215
"RHBG","RHBG",1377
"RHCE","RHCE",1254
"RHCG","RHCG",1440
"RHD","RHD",1254
"RHEB","RHEB",555
"RHEBL1","RHEBL1",552
"RHO","RHO",1047
"RHOA","RHOA",582
"RHOBTB1","RHOBTB1",2091
"RHOBTB3","RHOBTB3",1836
"RHOC","RHOC",582
"RHOD","RHOD",633
"RHOF","RHOF",636
"RHOG","RHOG",576
"RHOH","RHOH",576
"RHOJ","RHOJ",645
"RHOQ","RHOQ",618
"RHOT1","RHOT1",2076
"RHOU","RHOU",777
"RHOV","RHOV",711
"RHOXF1","RHOXF1",555
"RHOXF2","RHOXF2",1734
"RHOXF2B","RHOXF2B",1734
"RHPN1","RHPN1",2013
"RIBC1","RIBC1",1179
"RIBC2","RIBC2",1133
"RIC3","RIC3",1110
"RIIAD1","RIIAD1",279
"RILP","RILP",1206
"RILPL1","RILPL1",1212
"RILPL2","RILPL2",636
"RIMBP3","RIMBP3",4920
"RIMBP3B","RIMBP3B",9840
"RIMBP3C","RIMBP3C",9840
"RIMKLA","RIMKLA",1176
"RIMKLB","RIMKLB",1161
"RIMS3","RIMS3",927
"RIMS4","RIMS4",813
"RIN1","RIN1",2352
"RIN3","RIN3",2958
"RINL","RINL",1388
"RINT1","RINT1",2379
"RIOK3","RIOK3",1560
"RIPK1","RIPK1",2016
"RIPK2","RIPK2",1623
"RIPK3","RIPK3",1557
"RIPK4","RIPK4",2355
"RIPPLY2","RIPPLY2",387
"RIPPLY3","RIPPLY3",573
"RIT2","RIT2",654
"RLBP1","RLBP1",954
"RLIM","RLIM",1875
"RLN1","RLN1",558
"RLN2","RLN2",659
"RLN3","RLN3",429
"RMDN1","RMDN1",945
"RMDN2","RMDN2",2228
"RMDN3","RMDN3",1413
"RMI2","RMI2",444
"RMND1","RMND1",1350
"RMND5A","RMND5A",1176
"RMND5B","RMND5B",1182
"RNASE1","RNASE1",471
"RNASE10","RNASE10",651
"RNASE12","RNASE12",444
"RNASE13","RNASE13",471
"RNASE2","RNASE2",486
"RNASE3","RNASE3",483
"RNASE4","RNASE4",444
"RNASE6","RNASE6",453
"RNASE7","RNASE7",471
"RNASE8","RNASE8",465
"RNASE9","RNASE9",634
"RNASEH1","RNASEH1",861
"RNASEH2B","RNASEH2B",972
"RNASEH2C","RNASEH2C",495
"RNASEK","RNASEK",328
"RNASEL","RNASEL",2226
"RNASET2","RNASET2",771
"RND1","RND1",699
"RND2","RND2",684
"RNF10","RNF10",2436
"RNF103","RNF103",2058
"RNF103-CHMP3","RNF103-CHMP3",756
"RNF11","RNF11",465
"RNF112","RNF112",1896
"RNF113A","RNF113A",1032
"RNF113B","RNF113B",969
"RNF114","RNF114",687
"RNF115","RNF115",915
"RNF121","RNF121",984
"RNF125","RNF125",699
"RNF126","RNF126",936
"RNF128","RNF128",1693
"RNF13","RNF13",1146
"RNF130","RNF130",1260
"RNF133","RNF133",1131
"RNF135","RNF135",1299
"RNF138","RNF138",738
"RNF139","RNF139",1995
"RNF14","RNF14",1425
"RNF141","RNF141",693
"RNF144A","RNF144A",879
"RNF144B","RNF144B",912
"RNF145","RNF145",2076
"RNF148","RNF148",918
"RNF149","RNF149",1203
"RNF150","RNF150",1317
"RNF152","RNF152",612
"RNF157","RNF157",2040
"RNF165","RNF165",1041
"RNF166","RNF166",714
"RNF167","RNF167",1053
"RNF168","RNF168",1716
"RNF169","RNF169",2127
"RNF170","RNF170",984
"RNF175","RNF175",987
"RNF180","RNF180",1803
"RNF181","RNF181",462
"RNF182","RNF182",744
"RNF183","RNF183",579
"RNF185","RNF185",579
"RNF186","RNF186",684
"RNF187","RNF187",708
"RNF19A","RNF19A",2517
"RNF19B","RNF19B",2221
"RNF207","RNF207",1905
"RNF208","RNF208",786
"RNF212","RNF212",894
"RNF215","RNF215",1134
"RNF216","RNF216",2772
"RNF217","RNF217",828
"RNF220","RNF220",1701
"RNF222","RNF222",663
"RNF24","RNF24",510
"RNF26","RNF26",1302
"RNF31","RNF31",3219
"RNF32","RNF32",1089
"RNF34","RNF34",1128
"RNF39","RNF39",590
"RNF4","RNF4",573
"RNF41","RNF41",954
"RNF43","RNF43",2352
"RNF44","RNF44",1299
"RNF5","RNF5",74
"RNF6","RNF6",2058
"RNF7","RNF7",342
"RNF8","RNF8",1552
"RNFT1","RNFT1",1308
"RNFT2","RNFT2",1398
"RNH1","RNH1",1386
"RNLS","RNLS",1101
"RNMTL1","RNMTL1",1263
"RNPC3","RNPC3",1554
"RNPEP","RNPEP",1953
"RNPS1","RNPS1",918
"ROBO2","ROBO2",4139
"ROBO3","ROBO3",4161
"ROCK1","ROCK1",4065
"ROCK2","ROCK2",4167
"ROGDI","ROGDI",864
"ROM1","ROM1",1056
"ROMO1","ROMO1",240
"ROPN1","ROPN1",639
"ROPN1B","ROPN1B",639
"ROPN1L","ROPN1L",693
"ROR1","ROR1",2822
"ROR2","ROR2",2832
"RORA","RORA",2032
"RORC","RORC",1564
"RP1","RP1",6471
"RP9","RP9",666
"RPA1","RPA1",1851
"RPA2","RPA2",813
"RPA3","RPA3",366
"RPA4","RPA4",786
"RPAP2","RPAP2",1839
"RPAP3","RPAP3",1998
"RPE","RPE",741
"RPE65","RPE65",1602
"RPF2","RPF2",921
"RPGR","RPGR",4002
"RPGRIP1","RPGRIP1",3861
"RPH3AL","RPH3AL",948
"RPL10","RPL10",665
"RPL10A","RPL10A",654
"RPL10L","RPL10L",645
"RPL12","RPL12",498
"RPL13","RPL13",636
"RPL13A","RPL13A",489
"RPL14","RPL14",651
"RPL17","RPL17",555
"RPL17-C18orf32","RPL17-C18ORF32",684
"RPL18A","RPL18A",531
"RPL19","RPL19",591
"RPL22L1","RPL22L1",369
"RPL23","RPL23",423
"RPL23A","RPL23A",471
"RPL24","RPL24",474
"RPL26","RPL26",438
"RPL26L1","RPL26L1",438
"RPL27","RPL27",411
"RPL27A","RPL27A",447
"RPL28","RPL28",832
"RPL29","RPL29",480
"RPL3","RPL3",1212
"RPL31","RPL31",439
"RPL32","RPL32",408
"RPL34","RPL34",354
"RPL35","RPL35",372
"RPL35A","RPL35A",333
"RPL36","RPL36",318
"RPL36A","RPL36A",302
"RPL36A-HNRNPH2","RPL36A-HNRNPH2",269
"RPL36AL","RPL36AL",321
"RPL37","RPL37",294
"RPL37A","RPL37A",279
"RPL38","RPL38",213
"RPL39","RPL39",156
"RPL39L","RPL39L",156
"RPL3L","RPL3L",1224
"RPL4","RPL4",1284
"RPL41","RPL41",78
"RPL5","RPL5",894
"RPL6","RPL6",867
"RPL7","RPL7",747
"RPL7A","RPL7A",801
"RPL7L1","RPL7L1",741
"RPLP0","RPLP0",954
"RPLP1","RPLP1",345
"RPLP2","RPLP2",348
"RPN1","RPN1",1824
"RPP14","RPP14",375
"RPP21","RPP21",190
"RPP25","RPP25",600
"RPP25L","RPP25L",492
"RPP38","RPP38",852
"RPP40","RPP40",1092
"RPRD1A","RPRD1A",939
"RPRD1B","RPRD1B",981
"RPRM","RPRM",330
"RPRML","RPRML",363
"RPS10","RPS10",498
"RPS10-NUDT3","RPS10-NUDT3",876
"RPS11","RPS11",477
"RPS12","RPS12",399
"RPS13","RPS13",456
"RPS14","RPS14",456
"RPS15","RPS15",438
"RPS16","RPS16",441
"RPS17","RPS17",816
"RPS17L","RPS17L",816
"RPS18","RPS18",456
"RPS19","RPS19",438
"RPS19BP1","RPS19BP1",411
"RPS2","RPS2",882
"RPS20","RPS20",456
"RPS21","RPS21",252
"RPS23","RPS23",432
"RPS24","RPS24",897
"RPS25","RPS25",378
"RPS26","RPS26",348
"RPS27","RPS27",255
"RPS27A","RPS27A",471
"RPS27L","RPS27L",255
"RPS28","RPS28",210
"RPS3","RPS3",755
"RPS3A","RPS3A",673
"RPS4X","RPS4X",792
"RPS4Y1","RPS4Y1",792
"RPS4Y2","RPS4Y2",792
"RPS5","RPS5",615
"RPS6","RPS6",750
"RPS6KA2","RPS6KA2",2325
"RPS6KA4","RPS6KA4",2319
"RPS6KA5","RPS6KA5",2415
"RPS6KA6","RPS6KA6",2238
"RPS6KB1","RPS6KB1",1470
"RPS6KB2","RPS6KB2",1449
"RPS6KC1","RPS6KC1",3201
"RPS6KL1","RPS6KL1",1557
"RPS7","RPS7",585
"RPS8","RPS8",627
"RPS9","RPS9",585
"RPSA","RPSA",755
"RPTN","RPTN",2355
"RPUSD1","RPUSD1",939
"RPUSD2","RPUSD2",1638
"RPUSD3","RPUSD3",1056
"RPUSD4","RPUSD4",1134
"RRAD","RRAD",927
"RRAGA","RRAGA",942
"RRAGB","RRAGB",1125
"RRAGD","RRAGD",1203
"RRAS","RRAS",657
"RRAS2","RRAS2",615
"RRBP1","RRBP1",2934
"RREB1","RREB1",5229
"RRH","RRH",1014
"RRM2B","RRM2B",1098
"RRN3","RRN3",1956
"RRNAD1","RRNAD1",1428
"RRP1","RRP1",1386
"RRP12","RRP12",3894
"RRP15","RRP15",849
"RRP36","RRP36",780
"RRP7A","RRP7A",843
"RRP9","RRP9",1428
"RRS1","RRS1",1098
"RS1","RS1",675
"RSAD1","RSAD1",1329
"RSAD2","RSAD2",1086
"RSC1A1","RSC1A1",1854
"RSG1","RSG1",777
"RSL24D1","RSL24D1",492
"RSPH1","RSPH1",930
"RSPH10B","RSPH10B",5226
"RSPH10B2","RSPH10B2",5226
"RSPH3","RSPH3",1683
"RSPH4A","RSPH4A",2151
"RSPH6A","RSPH6A",2154
"RSPH9","RSPH9",851
"RSPO1","RSPO1",792
"RSPO2","RSPO2",732
"RSPO3","RSPO3",819
"RSPO4","RSPO4",705
"RSRC1","RSRC1",1005
"RSRC2","RSRC2",1305
"RSU1","RSU1",834
"RTBDN","RTBDN",786
"RTCB","RTCB",1518
"RTDR1","RTDR1",1047
"RTEL1","RTEL1",3689
"RTFDC1","RTFDC1",921
"RTKN","RTKN",1764
"RTL1","RTL1",4077
"RTN2","RTN2",1638
"RTN4IP1","RTN4IP1",1191
"RTN4RL1","RTN4RL1",1326
"RTN4RL2","RTN4RL2",1263
"RTP1","RTP1",792
"RTP2","RTP2",678
"RTP3","RTP3",699
"RTP4","RTP4",741
"RTTN","RTTN",6681
"RUFY1","RUFY1",2127
"RUFY4","RUFY4",1716
"RUNDC3A","RUNDC3A",1361
"RUNX1","RUNX1",1488
"RUNX2","RUNX2",1582
"RUNX3","RUNX3",1306
"RUSC1-AS1","RUSC1-AS1",711
"RWDD1","RWDD1",732
"RWDD2A","RWDD2A",879
"RWDD2B","RWDD2B",960
"RWDD3","RWDD3",819
"RWDD4","RWDD4",567
"RXFP1","RXFP1",2294
"RXFP2","RXFP2",2265
"RXFP3","RXFP3",1410
"RXFP4","RXFP4",1125
"RXRA","RXRA",1389
"RXRB","RXRB",248
"RXRG","RXRG",1392
"RYK","RYK",1831
"S100A1","S100A1",285
"S100A10","S100A10",294
"S100A11","S100A11",318
"S100A12","S100A12",279
"S100A13","S100A13",297
"S100A14","S100A14",315
"S100A16","S100A16",312
"S100A2","S100A2",294
"S100A3","S100A3",306
"S100A4","S100A4",306
"S100A5","S100A5",279
"S100A6","S100A6",273
"S100A7","S100A7",306
"S100A7A","S100A7A",306
"S100A7L2","S100A7L2",339
"S100A8","S100A8",282
"S100A9","S100A9",345
"S100B","S100B",279
"S100P","S100P",288
"S100PBP","S100PBP",1227
"S100Z","S100Z",300
"S1PR1","S1PR1",1149
"S1PR2","S1PR2",1062
"S1PR3","S1PR3",1137
"S1PR4","S1PR4",1155
"S1PR5","S1PR5",1197
"SAA1","SAA1",369
"SAA2","SAA2",391
"SAA2-SAA4","SAA2-SAA4",627
"SAA4","SAA4",393
"SAC3D1","SAC3D1",1077
"SACM1L","SACM1L",1764
"SAE1","SAE1",1115
"SAFB","SAFB",2754
"SAFB2","SAFB2",2862
"SAG","SAG",1218
"SALL1","SALL1",3975
"SALL3","SALL3",3903
"SALL4","SALL4",3162
"SAMD1","SAMD1",1299
"SAMD11","SAMD11",2046
"SAMD12","SAMD12",629
"SAMD13","SAMD13",351
"SAMD15","SAMD15",2025
"SAMD3","SAMD3",1584
"SAMD4A","SAMD4A",2265
"SAMD5","SAMD5",522
"SAMD7","SAMD7",1341
"SAMD8","SAMD8",981
"SAMD9","SAMD9",4770
"SAMD9L","SAMD9L",4755
"SAMHD1","SAMHD1",1881
"SAMSN1","SAMSN1",1122
"SAP18","SAP18",519
"SAP25","SAP25",600
"SAP30","SAP30",663
"SAP30BP","SAP30BP",927
"SAP30L","SAP30L",552
"SAPCD1","SAPCD1",282
"SAPCD2","SAPCD2",1185
"SAR1A","SAR1A",597
"SAR1B","SAR1B",597
"SARDH","SARDH",2757
"SARNP","SARNP",633
"SARS","SARS",1545
"SARS2","SARS2",1634
"SART1","SART1",2403
"SASH3","SASH3",1143
"SAT1","SAT1",516
"SAT2","SAT2",513
"SATB2","SATB2",2202
"SATL1","SATL1",1899
"SAV1","SAV1",1152
"SBDS","SBDS",753
"SBK1","SBK1",1275
"SBK2","SBK2",1047
"SBNO1","SBNO1",4182
"SBNO2","SBNO2",4209
"SBSN","SBSN",1773
"SBSPON","SBSPON",795
"SC5D","SC5D",900
"SCAF11","SCAF11",4392
"SCAI","SCAI",1890
"SCAMP3","SCAMP3",1044
"SCAMP4","SCAMP4",690
"SCAMP5","SCAMP5",708
"SCAND1","SCAND1",560
"SCAND3","SCAND3",3978
"SCARA3","SCARA3",1853
"SCARA5","SCARA5",1488
"SCARB1","SCARB1",1650
"SCARF1","SCARF1",2493
"SCARF2","SCARF2",2613
"SCC4","SCC4",1842
"SCCPDH","SCCPDH",1290
"SCD","SCD",1080
"SCD5","SCD5",1195
"SCEL","SCEL",2067
"SCFD1","SCFD1",1929
"SCFD2","SCFD2",2055
"SCG2","SCG2",1854
"SCG3","SCG3",1407
"SCG5","SCG5",639
"SCGB1A1","SCGB1A1",276
"SCGB1C1","SCGB1C1",288
"SCGB1D1","SCGB1D1",273
"SCGB1D2","SCGB1D2",273
"SCGB1D4","SCGB1D4",252
"SCGB2A2","SCGB2A2",282
"SCGB2B2","SCGB2B2",291
"SCGB3A1","SCGB3A1",315
"SCGB3A2","SCGB3A2",282
"SCGN","SCGN",831
"SCHIP1","SCHIP1",1464
"SCIMP","SCIMP",438
"SCIN","SCIN",2148
"SCLT1","SCLT1",2067
"SCLY","SCLY",1362
"SCML1","SCML1",993
"SCN10A","SCN10A",5871
"SCN1B","SCN1B",1016
"SCN2B","SCN2B",648
"SCN3B","SCN3B",648
"SCN4B","SCN4B",687
"SCN7A","SCN7A",5049
"SCN9A","SCN9A",5934
"SCNM1","SCNM1",693
"SCNN1A","SCNN1A",2202
"SCNN1B","SCNN1B",1923
"SCNN1G","SCNN1G",1950
"SCO1","SCO1",906
"SCO2","SCO2",801
"SCOC","SCOC",550
"SCP2D1","SCP2D1",471
"SCPEP1","SCPEP1",1359
"SCRG1","SCRG1",297
"SCRIB","SCRIB",4968
"SCRN1","SCRN1",1305
"SCRN2","SCRN2",1296
"SCRT1","SCRT1",1047
"SCT","SCT",366
"SCTR","SCTR",1323
"SCXA","SCXA",1212
"SCXB","SCXB",1212
"SCYL1","SCYL1",2427
"SDAD1","SDAD1",2064
"SDC1","SDC1",933
"SDC2","SDC2",606
"SDC4","SDC4",597
"SDCBP","SDCBP",897
"SDCBP2","SDCBP2",879
"SDCCAG8","SDCCAG8",2142
"SDE2","SDE2",1356
"SDF2","SDF2",636
"SDF2L1","SDF2L1",666
"SDF4","SDF4",1205
"SDHAF1","SDHAF1",348
"SDHAF2","SDHAF2",501
"SDHB","SDHB",843
"SDHC","SDHC",617
"SDHD","SDHD",480
"SDPR","SDPR",1278
"SDR16C5","SDR16C5",930
"SDR39U1","SDR39U1",882
"SDR42E1","SDR42E1",1182
"SDR9C7","SDR9C7",942
"SDS","SDS",987
"SDSL","SDSL",990
"SEBOX","SEBOX",651
"SEC11A","SEC11A",585
"SEC11C","SEC11C",579
"SEC13","SEC13",1065
"SEC14L2","SEC14L2",1310
"SEC14L3","SEC14L3",1203
"SEC14L4","SEC14L4",1223
"SEC22A","SEC22A",924
"SEC22B","SEC22B",648
"SEC22C","SEC22C",954
"SEC23B","SEC23B",2304
"SEC23IP","SEC23IP",3003
"SEC31B","SEC31B",3540
"SEC61A1","SEC61A1",1431
"SEC61A2","SEC61A2",1501
"SEC61B","SEC61B",291
"SEC61G","SEC61G",207
"SEC62","SEC62",1200
"SEC63","SEC63",2283
"SEH1L","SEH1L",1279
"SEL1L","SEL1L",2400
"SEL1L2","SEL1L2",1728
"SELE","SELE",1833
"SELENBP1","SELENBP1",1461
"SELK","SELK",285
"SELL","SELL",1158
"SELM","SELM",438
"SELO","SELO",2010
"SELP","SELP",2493
"SELPLG","SELPLG",1244
"SELRC1","SELRC1",696
"SELT","SELT",588
"SELV","SELV",1041
"SEMA3B","SEMA3B",2249
"SEMA3D","SEMA3D",2334
"SEMA3E","SEMA3E",2328
"SEMA3F","SEMA3F",2358
"SEMA3G","SEMA3G",2349
"SEMA4A","SEMA4A",2286
"SEMA4B","SEMA4B",2514
"SEMA4D","SEMA4D",3143
"SEMA4F","SEMA4F",2313
"SEMA5B","SEMA5B",3476
"SEMA6A","SEMA6A",3093
"SEMA6B","SEMA6B",2667
"SEMA6D","SEMA6D",3265
"SEMA7A","SEMA7A",2001
"SEMG1","SEMG1",1389
"SEMG2","SEMG2",1749
"SENP2","SENP2",1770
"SENP3","SENP3",1725
"SENP5","SENP5",2268
"SENP6","SENP6",3339
"SENP8","SENP8",639
,"",498
"SEPHS1","SEPHS1",1179
"SEPHS2","SEPHS2",1347
"SEPN1","SEPN1",1671
"SEPP1","SEPP1",1236
"SEPSECS","SEPSECS",1506
,"",1173
,"",1365
,"",1290
,"",1077
,"",1119
,"",1086
,"",1525
,"",1319
,"",1205
,"",1499
,"",2223
"SEPW1","SEPW1",264
"SERAC1","SERAC1",1965
"SERF1A","SERF1A",812
"SERF1B","SERF1B",812
"SERF2","SERF2",278
"SERGEF","SERGEF",1377
"SERHL2","SERHL2",945
"SERINC1","SERINC1",1362
"SERINC3","SERINC3",1422
"SERINC4","SERINC4",886
"SERINC5","SERINC5",1238
"SERP1","SERP1",201
"SERP2","SERP2",198
"SERPINA1","SERPINA1",1257
"SERPINA10","SERPINA10",1335
"SERPINA11","SERPINA11",1269
"SERPINA12","SERPINA12",1245
"SERPINA3","SERPINA3",1272
"SERPINA4","SERPINA4",1284
"SERPINA5","SERPINA5",1221
"SERPINA6","SERPINA6",1218
"SERPINA7","SERPINA7",1248
"SERPINA9","SERPINA9",1308
"SERPINB1","SERPINB1",1140
"SERPINB10","SERPINB10",1194
"SERPINB11","SERPINB11",1179
"SERPINB12","SERPINB12",1218
"SERPINB13","SERPINB13",1176
"SERPINB2","SERPINB2",1248
"SERPINB3","SERPINB3",1173
"SERPINB4","SERPINB4",1173
"SERPINB5","SERPINB5",1128
"SERPINB6","SERPINB6",1141
"SERPINB7","SERPINB7",1143
"SERPINB8","SERPINB8",1134
"SERPINB9","SERPINB9",1131
"SERPINC1","SERPINC1",1395
"SERPIND1","SERPIND1",1500
"SERPINE1","SERPINE1",1209
"SERPINE2","SERPINE2",1233
"SERPINE3","SERPINE3",1275
"SERPINF1","SERPINF1",1257
"SERPINF2","SERPINF2",1486
"SERPING1","SERPING1",1503
"SERPINH1","SERPINH1",1257
"SERPINI1","SERPINI1",1233
"SERPINI2","SERPINI2",1228
"SERTAD1","SERTAD1",711
"SERTAD2","SERTAD2",945
"SERTAD3","SERTAD3",591
"SERTAD4","SERTAD4",1071
"SERTM1","SERTM1",324
"SESN1","SESN1",1656
"SESN3","SESN3",1479
"SETD8","SETD8",1059
"SETD9","SETD9",900
"SEZ6","SEZ6",2998
"SEZ6L","SEZ6L",3075
"SF3A1","SF3A1",2382
"SF3A2","SF3A2",1395
"SF3A3","SF3A3",1506
"SF3B14","SF3B14",378
"SF3B2","SF3B2",2688
"SF3B4","SF3B4",1275
"SF3B5","SF3B5",261
"SFI1","SFI1",3729
"SFN","SFN",747
"SFR1","SFR1",738
"SFRP2","SFRP2",888
"SFRP4","SFRP4",1041
"SFRP5","SFRP5",954
"SFSWAP","SFSWAP",2856
"SFT2D1","SFT2D1",480
"SFT2D2","SFT2D2",483
"SFT2D3","SFT2D3",648
"SFTA3","SFTA3",285
"SFTPA1","SFTPA1",792
"SFTPA2","SFTPA2",747
"SFTPB","SFTPB",1182
"SFTPC","SFTPC",594
"SFTPD","SFTPD",1128
"SFXN1","SFXN1",969
"SFXN2","SFXN2",969
"SFXN3","SFXN3",978
"SFXN4","SFXN4",1014
"SFXN5","SFXN5",1023
"SGCA","SGCA",1164
"SGCD","SGCD",945
"SGCE","SGCE",1383
"SGCG","SGCG",876
"SGCZ","SGCZ",939
"SGK1","SGK1",1935
"SGK196","SGK196",1053
"SGK2","SGK2",1284
"SGK223","SGK223",4209
"SGK3","SGK3",1491
"SGK494","SGK494",811
"SGMS1","SGMS1",1242
"SGMS2","SGMS2",1098
"SGPL1","SGPL1",1707
"SGPP1","SGPP1",1326
"SGPP2","SGPP2",1200
"SGSH","SGSH",1509
"SGTA","SGTA",942
"SGTB","SGTB",915
"SH2B3","SH2B3",1728
"SH2D1A","SH2D1A",387
"SH2D1B","SH2D1B",399
"SH2D2A","SH2D2A",1200
"SH2D3A","SH2D3A",1731
"SH2D4A","SH2D4A",1365
"SH2D4B","SH2D4B",1114
"SH2D5","SH2D5",1272
"SH2D6","SH2D6",528
"SH2D7","SH2D7",1356
"SH3BGR","SH3BGR",720
"SH3BGRL","SH3BGRL",345
"SH3BGRL2","SH3BGRL2",324
"SH3BGRL3","SH3BGRL3",282
"SH3BP1","SH3BP1",2106
"SH3BP2","SH3BP2",1937
"SH3BP5","SH3BP5",1368
"SH3BP5L","SH3BP5L",1182
"SH3D19","SH3D19",2373
"SH3D21","SH3D21",2271
"SH3GL1","SH3GL1",1107
"SH3GL2","SH3GL2",1059
"SH3GL3","SH3GL3",1044
"SH3GLB1","SH3GLB1",1098
"SH3GLB2","SH3GLB2",1188
"SH3KBP1","SH3KBP1",2049
"SH3PXD2A","SH3PXD2A",3318
"SH3RF1","SH3RF1",2667
"SH3RF2","SH3RF2",2190
"SH3TC1","SH3TC1",4011
"SH3TC2","SH3TC2",3867
"SH3YL1","SH3YL1",1029
"SHARPIN","SHARPIN",1164
"SHBG","SHBG",1209
"SHC1","SHC1",1755
"SHC2","SHC2",1749
"SHC3","SHC3",1785
"SHC4","SHC4",1893
"SHCBP1L","SHCBP1L",1962
"SHD","SHD",1023
"SHE","SHE",1488
"SHFM1","SHFM1",213
"SHH","SHH",1389
"SHISA3","SHISA3",717
"SHISA4","SHISA4",594
"SHISA5","SHISA5",743
"SHISA6","SHISA6",1656
"SHISA7","SHISA7",1617
"SHISA9","SHISA9",1378
"SHKBP1","SHKBP1",2124
"SHMT1","SHMT1",1452
"SHMT2","SHMT2",1515
"SHOX2","SHOX2",1068
"SHPK","SHPK",1437
"SHQ1","SHQ1",1734
"SHROOM1","SHROOM1",2559
"SHROOM2","SHROOM2",4851
"SHROOM3","SHROOM3",5991
"SHROOM4","SHROOM4",4482
"SI","SI",5484
"SIAE","SIAE",1572
"SIAH2","SIAH2",975
"SIAH3","SIAH3",810
"SIDT1","SIDT1",2484
"SIDT2","SIDT2",2499
"SIGIRR","SIGIRR",1233
"SIGLEC1","SIGLEC1",5130
"SIGLEC10","SIGLEC10",2094
"SIGLEC11","SIGLEC11",2097
"SIGLEC12","SIGLEC12",1861
"SIGLEC14","SIGLEC14",1191
"SIGLEC15","SIGLEC15",987
"SIGLEC5","SIGLEC5",1656
"SIGLEC6","SIGLEC6",1395
"SIGLEC7","SIGLEC7",1404
"SIGLEC8","SIGLEC8",1500
"SIGLEC9","SIGLEC9",1392
